"subject","activity","settype","variable","V1"
"49",24,"STANDING","test data","tBodyAcc-mean()-X",0.280348883913043
"50",24,"SITTING","test data","tBodyAcc-mean()-X",0.273475690147059
"51",24,"LAYING","test data","tBodyAcc-mean()-X",0.272850494930556
"52",24,"WALKING","test data","tBodyAcc-mean()-X",0.276980816034483
"53",24,"WALKING_DOWNSTAIRS","test data","tBodyAcc-mean()-X",0.288631208909091
"54",24,"WALKING_UPSTAIRS","test data","tBodyAcc-mean()-X",0.269881106779661
"55",1,"STANDING","training data","tBodyAcc-mean()-X",0.278917629056604
"56",1,"SITTING","training data","tBodyAcc-mean()-X",0.261237565425532
"57",1,"LAYING","training data","tBodyAcc-mean()-X",0.22159824394
"58",1,"WALKING","training data","tBodyAcc-mean()-X",0.277330758736842
"59",1,"WALKING_DOWNSTAIRS","training data","tBodyAcc-mean()-X",0.289188320408163
"60",1,"WALKING_UPSTAIRS","training data","tBodyAcc-mean()-X",0.255461689622641
"61",3,"STANDING","training data","tBodyAcc-mean()-X",0.280046513278689
"62",3,"SITTING","training data","tBodyAcc-mean()-X",0.257197599134615
"63",3,"LAYING","training data","tBodyAcc-mean()-X",0.275516852741935
"64",3,"WALKING","training data","tBodyAcc-mean()-X",0.275567462068966
"65",3,"WALKING_DOWNSTAIRS","training data","tBodyAcc-mean()-X",0.292423484693878
"66",3,"WALKING_UPSTAIRS","training data","tBodyAcc-mean()-X",0.260819873067797
"67",5,"STANDING","training data","tBodyAcc-mean()-X",0.282544390892857
"68",5,"SITTING","training data","tBodyAcc-mean()-X",0.273694139545455
"69",5,"LAYING","training data","tBodyAcc-mean()-X",0.278334325576923
"70",5,"WALKING","training data","tBodyAcc-mean()-X",0.27784234625
"71",5,"WALKING_DOWNSTAIRS","training data","tBodyAcc-mean()-X",0.29354392712766
"72",5,"WALKING_UPSTAIRS","training data","tBodyAcc-mean()-X",0.268459469914894
"73",6,"STANDING","training data","tBodyAcc-mean()-X",0.280346248596491
"74",6,"SITTING","training data","tBodyAcc-mean()-X",0.276778487454545
"75",6,"LAYING","training data","tBodyAcc-mean()-X",0.248656520140351
"76",6,"WALKING","training data","tBodyAcc-mean()-X",0.283658868070175
"77",6,"WALKING_DOWNSTAIRS","training data","tBodyAcc-mean()-X",0.277045258145833
"78",6,"WALKING_UPSTAIRS","training data","tBodyAcc-mean()-X",0.268229355098039
"79",7,"STANDING","training data","tBodyAcc-mean()-X",0.282723539433962
"80",7,"SITTING","training data","tBodyAcc-mean()-X",0.284674637291667
"81",7,"LAYING","training data","tBodyAcc-mean()-X",0.250176694038462
"82",7,"WALKING","training data","tBodyAcc-mean()-X",0.275592961754386
"83",7,"WALKING_DOWNSTAIRS","training data","tBodyAcc-mean()-X",0.28030708
"84",7,"WALKING_UPSTAIRS","training data","tBodyAcc-mean()-X",0.248706923078431
"85",8,"STANDING","training data","tBodyAcc-mean()-X",0.279620986111111
"86",8,"SITTING","training data","tBodyAcc-mean()-X",0.267491472934783
"87",8,"LAYING","training data","tBodyAcc-mean()-X",0.261254282907407
"88",8,"WALKING","training data","tBodyAcc-mean()-X",0.27468631
"89",8,"WALKING_DOWNSTAIRS","training data","tBodyAcc-mean()-X",0.283484089210526
"90",8,"WALKING_UPSTAIRS","training data","tBodyAcc-mean()-X",0.258880152048781
"91",11,"STANDING","training data","tBodyAcc-mean()-X",0.277715562765957
"92",11,"SITTING","training data","tBodyAcc-mean()-X",0.276590197358491
"93",11,"LAYING","training data","tBodyAcc-mean()-X",0.280592970877193
"94",11,"WALKING","training data","tBodyAcc-mean()-X",0.271821892881356
"95",11,"WALKING_DOWNSTAIRS","training data","tBodyAcc-mean()-X",0.291605631956522
"96",11,"WALKING_UPSTAIRS","training data","tBodyAcc-mean()-X",0.263775859277778
"97",14,"STANDING","training data","tBodyAcc-mean()-X",0.280545613833333
"98",14,"SITTING","training data","tBodyAcc-mean()-X",0.279990577037037
"99",14,"LAYING","training data","tBodyAcc-mean()-X",0.233275439803922
"100",14,"WALKING","training data","tBodyAcc-mean()-X",0.271959598644068
"101",14,"WALKING_DOWNSTAIRS","training data","tBodyAcc-mean()-X",0.293422115555556
"102",14,"WALKING_UPSTAIRS","training data","tBodyAcc-mean()-X",0.26242106612963
"103",15,"STANDING","training data","tBodyAcc-mean()-X",0.278915803962264
"104",15,"SITTING","training data","tBodyAcc-mean()-X",0.27290337979661
"105",15,"LAYING","training data","tBodyAcc-mean()-X",0.2894756525
"106",15,"WALKING","training data","tBodyAcc-mean()-X",0.273899207962963
"107",15,"WALKING_DOWNSTAIRS","training data","tBodyAcc-mean()-X",0.280198851190476
"108",15,"WALKING_UPSTAIRS","training data","tBodyAcc-mean()-X",0.270187595833333
"109",16,"STANDING","training data","tBodyAcc-mean()-X",0.283497402948718
"110",16,"SITTING","training data","tBodyAcc-mean()-X",0.280768574492754
"111",16,"LAYING","training data","tBodyAcc-mean()-X",0.274227162571429
"112",16,"WALKING","training data","tBodyAcc-mean()-X",0.276023564509804
"113",16,"WALKING_DOWNSTAIRS","training data","tBodyAcc-mean()-X",0.295586802191489
"114",16,"WALKING_UPSTAIRS","training data","tBodyAcc-mean()-X",0.255986102627451
"115",17,"STANDING","training data","tBodyAcc-mean()-X",0.277942503333333
"116",17,"SITTING","training data","tBodyAcc-mean()-X",0.2773570196875
"117",17,"LAYING","training data","tBodyAcc-mean()-X",0.269780085577465
"118",17,"WALKING","training data","tBodyAcc-mean()-X",0.272341855245902
"119",17,"WALKING_DOWNSTAIRS","training data","tBodyAcc-mean()-X",0.29391828326087
"120",17,"WALKING_UPSTAIRS","training data","tBodyAcc-mean()-X",0.252604768583333
"121",19,"STANDING","training data","tBodyAcc-mean()-X",0.27817226
"122",19,"SITTING","training data","tBodyAcc-mean()-X",0.273830316164384
"123",19,"LAYING","training data","tBodyAcc-mean()-X",0.272653733493976
"124",19,"WALKING","training data","tBodyAcc-mean()-X",0.273931172307692
"125",19,"WALKING_DOWNSTAIRS","training data","tBodyAcc-mean()-X",0.262688053871795
"126",19,"WALKING_UPSTAIRS","training data","tBodyAcc-mean()-X",0.242118808925
"127",21,"STANDING","training data","tBodyAcc-mean()-X",0.27695224258427
"128",21,"SITTING","training data","tBodyAcc-mean()-X",0.277539616823529
"129",21,"LAYING","training data","tBodyAcc-mean()-X",0.271325472455556
"130",21,"WALKING","training data","tBodyAcc-mean()-X",0.279183526730769
"131",21,"WALKING_DOWNSTAIRS","training data","tBodyAcc-mean()-X",0.3014610196
"132",21,"WALKING_UPSTAIRS","training data","tBodyAcc-mean()-X",0.265194544680851
"133",22,"STANDING","training data","tBodyAcc-mean()-X",0.279053861587302
"134",22,"SITTING","training data","tBodyAcc-mean()-X",0.273583822709677
"135",22,"LAYING","training data","tBodyAcc-mean()-X",0.279959721194444
"136",22,"WALKING","training data","tBodyAcc-mean()-X",0.27886459
"137",22,"WALKING_DOWNSTAIRS","training data","tBodyAcc-mean()-X",0.284458963861111
"138",22,"WALKING_UPSTAIRS","training data","tBodyAcc-mean()-X",0.248391534566667
"139",23,"STANDING","training data","tBodyAcc-mean()-X",0.277899323235294
"140",23,"SITTING","training data","tBodyAcc-mean()-X",0.273351251617647
"141",23,"LAYING","training data","tBodyAcc-mean()-X",0.274038007986111
"142",23,"WALKING","training data","tBodyAcc-mean()-X",0.273211884237288
"143",23,"WALKING_DOWNSTAIRS","training data","tBodyAcc-mean()-X",0.289897411148148
"144",23,"WALKING_UPSTAIRS","training data","tBodyAcc-mean()-X",0.249995171031373
"145",25,"STANDING","training data","tBodyAcc-mean()-X",0.278013701621622
"146",25,"SITTING","training data","tBodyAcc-mean()-X",0.278541482461538
"147",25,"LAYING","training data","tBodyAcc-mean()-X",0.250791828613699
"148",25,"WALKING","training data","tBodyAcc-mean()-X",0.278992759054054
"149",25,"WALKING_DOWNSTAIRS","training data","tBodyAcc-mean()-X",0.291329666206897
"150",25,"WALKING_UPSTAIRS","training data","tBodyAcc-mean()-X",0.277995411384615
"151",26,"STANDING","training data","tBodyAcc-mean()-X",0.281127035405405
"152",26,"SITTING","training data","tBodyAcc-mean()-X",0.258243530166667
"153",26,"LAYING","training data","tBodyAcc-mean()-X",0.271645864540789
"154",26,"WALKING","training data","tBodyAcc-mean()-X",0.279264443728814
"155",26,"WALKING_DOWNSTAIRS","training data","tBodyAcc-mean()-X",0.2792845828
"156",26,"WALKING_UPSTAIRS","training data","tBodyAcc-mean()-X",0.272691394545455
"157",27,"STANDING","training data","tBodyAcc-mean()-X",0.279566921625
"158",27,"SITTING","training data","tBodyAcc-mean()-X",0.273941302571429
"159",27,"LAYING","training data","tBodyAcc-mean()-X",0.274102492432432
"160",27,"WALKING","training data","tBodyAcc-mean()-X",0.276849485438596
"161",27,"WALKING_DOWNSTAIRS","training data","tBodyAcc-mean()-X",0.2975441875
"162",27,"WALKING_UPSTAIRS","training data","tBodyAcc-mean()-X",0.265770253921569
"163",28,"STANDING","training data","tBodyAcc-mean()-X",0.277795069113924
"164",28,"SITTING","training data","tBodyAcc-mean()-X",0.276977629444444
"165",28,"LAYING","training data","tBodyAcc-mean()-X",0.2759134825
"166",28,"WALKING","training data","tBodyAcc-mean()-X",0.281228223888889
"167",28,"WALKING_DOWNSTAIRS","training data","tBodyAcc-mean()-X",0.293642076521739
"168",28,"WALKING_UPSTAIRS","training data","tBodyAcc-mean()-X",0.262005841764706
"169",29,"STANDING","training data","tBodyAcc-mean()-X",0.277965065846154
"170",29,"SITTING","training data","tBodyAcc-mean()-X",0.2771799775
"171",29,"LAYING","training data","tBodyAcc-mean()-X",0.287295196811594
"172",29,"WALKING","training data","tBodyAcc-mean()-X",0.271999916792453
"173",29,"WALKING_DOWNSTAIRS","training data","tBodyAcc-mean()-X",0.293140441083333
"174",29,"WALKING_UPSTAIRS","training data","tBodyAcc-mean()-X",0.265423066877551
"175",30,"STANDING","training data","tBodyAcc-mean()-X",0.277112699152542
"176",30,"SITTING","training data","tBodyAcc-mean()-X",0.268336081379032
"177",30,"LAYING","training data","tBodyAcc-mean()-X",0.281033900571429
"178",30,"WALKING","training data","tBodyAcc-mean()-X",0.276406758
"179",30,"WALKING_DOWNSTAIRS","training data","tBodyAcc-mean()-X",0.283190646967742
"180",30,"WALKING_UPSTAIRS","training data","tBodyAcc-mean()-X",0.271415642261538
"181",2,"STANDING","test data","tBodyAcc-mean()-Y",-0.0184208270166667
"182",2,"SITTING","test data","tBodyAcc-mean()-Y",-0.0156879937282609
"183",2,"LAYING","test data","tBodyAcc-mean()-Y",-0.0181587397583333
"184",2,"WALKING","test data","tBodyAcc-mean()-Y",-0.0185949199145763
"185",2,"WALKING_DOWNSTAIRS","test data","tBodyAcc-mean()-Y",-0.0226614158361702
"186",2,"WALKING_UPSTAIRS","test data","tBodyAcc-mean()-Y",-0.0214121132045833
"187",4,"STANDING","test data","tBodyAcc-mean()-Y",-0.00948911098553571
"188",4,"SITTING","test data","tBodyAcc-mean()-Y",-0.007163065158
"189",4,"LAYING","test data","tBodyAcc-mean()-Y",-0.0150031841055556
"190",4,"WALKING","test data","tBodyAcc-mean()-Y",-0.0148399475341667
"191",4,"WALKING_DOWNSTAIRS","test data","tBodyAcc-mean()-Y",-0.00980200850666667
"192",4,"WALKING_UPSTAIRS","test data","tBodyAcc-mean()-Y",-0.0319804295729615
"193",9,"STANDING","test data","tBodyAcc-mean()-Y",-0.0200454954022222
"194",9,"SITTING","test data","tBodyAcc-mean()-Y",-0.02701677698
"195",9,"LAYING","test data","tBodyAcc-mean()-Y",-0.020526821662
"196",9,"WALKING","test data","tBodyAcc-mean()-Y",-0.0180891971284423
"197",9,"WALKING_DOWNSTAIRS","test data","tBodyAcc-mean()-Y",-0.0203994269075476
"198",9,"WALKING_UPSTAIRS","test data","tBodyAcc-mean()-Y",-0.0195101099975714
"199",10,"STANDING","test data","tBodyAcc-mean()-Y",-0.0155418603409091
"200",10,"SITTING","test data","tBodyAcc-mean()-Y",-0.015042681852037
"201",10,"LAYING","test data","tBodyAcc-mean()-Y",-0.024294484137931
"202",10,"WALKING","test data","tBodyAcc-mean()-Y",-0.017022351190566
"203",10,"WALKING_DOWNSTAIRS","test data","tBodyAcc-mean()-Y",-0.0200050770710526
"204",10,"WALKING_UPSTAIRS","test data","tBodyAcc-mean()-Y",-0.0143854920340426
"205",12,"STANDING","test data","tBodyAcc-mean()-Y",-0.0169002543196721
"206",12,"SITTING","test data","tBodyAcc-mean()-Y",-0.0157892988523529
"207",12,"LAYING","test data","tBodyAcc-mean()-Y",-0.0175203917146667
"208",12,"WALKING","test data","tBodyAcc-mean()-Y",-0.015560927606
"209",12,"WALKING_DOWNSTAIRS","test data","tBodyAcc-mean()-Y",-0.018084266865793
"210",12,"WALKING_UPSTAIRS","test data","tBodyAcc-mean()-Y",-0.0263574903403846
"211",13,"STANDING","test data","tBodyAcc-mean()-Y",-0.0167891993964912
"212",13,"SITTING","test data","tBodyAcc-mean()-Y",-0.00587732936326531
"213",13,"LAYING","test data","tBodyAcc-mean()-Y",-0.020440454366129
"214",13,"WALKING","test data","tBodyAcc-mean()-Y",-0.0185660651947368
"215",13,"WALKING_DOWNSTAIRS","test data","tBodyAcc-mean()-Y",-0.0143723839108511
"216",13,"WALKING_UPSTAIRS","test data","tBodyAcc-mean()-Y",-0.0277392253910909
"217",18,"STANDING","test data","tBodyAcc-mean()-Y",-0.0166353518150685
"218",18,"SITTING","test data","tBodyAcc-mean()-Y",-0.0128691279736842
"219",18,"LAYING","test data","tBodyAcc-mean()-Y",-0.0173937684615385
"220",18,"WALKING","test data","tBodyAcc-mean()-Y",-0.0178023631866071
"221",18,"WALKING_DOWNSTAIRS","test data","tBodyAcc-mean()-Y",-0.0168666920221818
"222",18,"WALKING_UPSTAIRS","test data","tBodyAcc-mean()-Y",-0.0222060684378914
"223",20,"STANDING","test data","tBodyAcc-mean()-Y",-0.0180695049161644
"224",20,"SITTING","test data","tBodyAcc-mean()-Y",-0.0147229305131818
"225",20,"LAYING","test data","tBodyAcc-mean()-Y",-0.0144406281132353
"226",20,"WALKING","test data","tBodyAcc-mean()-Y",-0.021199992245098
"227",20,"WALKING_DOWNSTAIRS","test data","tBodyAcc-mean()-Y",-0.00964120773155556
"228",20,"WALKING_UPSTAIRS","test data","tBodyAcc-mean()-Y",-0.0282258047588235
"229",24,"STANDING","test data","tBodyAcc-mean()-Y",-0.0144785340348986
"230",24,"SITTING","test data","tBodyAcc-mean()-Y",-0.0131255097938235
"231",24,"LAYING","test data","tBodyAcc-mean()-Y",-0.0173555210111111
"232",24,"WALKING","test data","tBodyAcc-mean()-Y",-0.0225446400534483
"233",24,"WALKING_DOWNSTAIRS","test data","tBodyAcc-mean()-Y",-0.0145730348310909
"234",24,"WALKING_UPSTAIRS","test data","tBodyAcc-mean()-Y",-0.0251979434569492
"235",1,"STANDING","training data","tBodyAcc-mean()-Y",-0.0161375901037736
"236",1,"SITTING","training data","tBodyAcc-mean()-Y",-0.00130828765170213
"237",1,"LAYING","training data","tBodyAcc-mean()-Y",-0.0405139534294
"238",1,"WALKING","training data","tBodyAcc-mean()-Y",-0.0173838185273684
"239",1,"WALKING_DOWNSTAIRS","training data","tBodyAcc-mean()-Y",-0.00991850461020408
"240",1,"WALKING_UPSTAIRS","training data","tBodyAcc-mean()-Y",-0.0239531492643396
"241",3,"STANDING","training data","tBodyAcc-mean()-Y",-0.0143376555065574
"242",3,"SITTING","training data","tBodyAcc-mean()-Y",-0.00350299841730769
"243",3,"LAYING","training data","tBodyAcc-mean()-Y",-0.0189556785048387
"244",3,"WALKING","training data","tBodyAcc-mean()-Y",-0.0171767844203448
"245",3,"WALKING_DOWNSTAIRS","training data","tBodyAcc-mean()-Y",-0.0193554079328571
"246",3,"WALKING_UPSTAIRS","training data","tBodyAcc-mean()-Y",-0.0324109410555932
"247",5,"STANDING","training data","tBodyAcc-mean()-Y",-0.00700418554517857
"248",5,"SITTING","training data","tBodyAcc-mean()-Y",-0.00990083527045455
"249",5,"LAYING","training data","tBodyAcc-mean()-Y",-0.0183042123269231
"250",5,"WALKING","training data","tBodyAcc-mean()-Y",-0.0172850317482679
"251",5,"WALKING_DOWNSTAIRS","training data","tBodyAcc-mean()-Y",-0.00850107533191489
"252",5,"WALKING_UPSTAIRS","training data","tBodyAcc-mean()-Y",-0.0325269755153191
"253",6,"STANDING","training data","tBodyAcc-mean()-Y",-0.0181236327175439
"254",6,"SITTING","training data","tBodyAcc-mean()-Y",-0.0145911615290909
"255",6,"LAYING","training data","tBodyAcc-mean()-Y",-0.0102529170561404
"256",6,"WALKING","training data","tBodyAcc-mean()-Y",-0.0168954189082456
"257",6,"WALKING_DOWNSTAIRS","training data","tBodyAcc-mean()-Y",-0.019536840063125
"258",6,"WALKING_UPSTAIRS","training data","tBodyAcc-mean()-Y",-0.0272425385070588
"259",7,"STANDING","training data","tBodyAcc-mean()-Y",-0.0145740341037736
"260",7,"SITTING","training data","tBodyAcc-mean()-Y",-0.01461097580375
"261",7,"LAYING","training data","tBodyAcc-mean()-Y",-0.0204411516884615
"262",7,"WALKING","training data","tBodyAcc-mean()-Y",-0.018653665345614
"263",7,"WALKING_DOWNSTAIRS","training data","tBodyAcc-mean()-Y",-0.0166332372978723
"264",7,"WALKING_UPSTAIRS","training data","tBodyAcc-mean()-Y",-0.0275639005607843
"265",8,"STANDING","training data","tBodyAcc-mean()-Y",-0.0148113067148148
"266",8,"SITTING","training data","tBodyAcc-mean()-Y",-0.00672550621304348
"267",8,"LAYING","training data","tBodyAcc-mean()-Y",-0.0212281733881481
"268",8,"WALKING","training data","tBodyAcc-mean()-Y",-0.0186628865310417
"269",8,"WALKING_DOWNSTAIRS","training data","tBodyAcc-mean()-Y",-0.0211058674973684
"270",8,"WALKING_UPSTAIRS","training data","tBodyAcc-mean()-Y",-0.0282415136341463
"271",11,"STANDING","training data","tBodyAcc-mean()-Y",-0.0171990886595745
"272",11,"SITTING","training data","tBodyAcc-mean()-Y",-0.0149195616754717
"273",11,"LAYING","training data","tBodyAcc-mean()-Y",-0.0176598052315789
"274",11,"WALKING","training data","tBodyAcc-mean()-Y",-0.0166475833623729
"275",11,"WALKING_DOWNSTAIRS","training data","tBodyAcc-mean()-Y",-0.0178097721219565
"276",11,"WALKING_UPSTAIRS","training data","tBodyAcc-mean()-Y",-0.0303157822055556
"277",14,"STANDING","training data","tBodyAcc-mean()-Y",-0.01520781344
"278",14,"SITTING","training data","tBodyAcc-mean()-Y",-0.00870565463888889
"279",14,"LAYING","training data","tBodyAcc-mean()-Y",-0.0113424652490196
"280",14,"WALKING","training data","tBodyAcc-mean()-Y",-0.0217785380966102
"281",14,"WALKING_DOWNSTAIRS","training data","tBodyAcc-mean()-Y",-0.0200141413657778
"282",14,"WALKING_UPSTAIRS","training data","tBodyAcc-mean()-Y",-0.0204388180024074
"283",15,"STANDING","training data","tBodyAcc-mean()-Y",-0.0183516360396226
"284",15,"SITTING","training data","tBodyAcc-mean()-Y",-0.0117188472271186
"285",15,"LAYING","training data","tBodyAcc-mean()-Y",-0.0166296542054167
"286",15,"WALKING","training data","tBodyAcc-mean()-Y",-0.0170809740090741
"287",15,"WALKING_DOWNSTAIRS","training data","tBodyAcc-mean()-Y",-0.00563047804309524
"288",15,"WALKING_UPSTAIRS","training data","tBodyAcc-mean()-Y",-0.0287523860708333
"289",16,"STANDING","training data","tBodyAcc-mean()-Y",-0.0165999672935897
"290",16,"SITTING","training data","tBodyAcc-mean()-Y",-0.0102497939956522
"291",16,"LAYING","training data","tBodyAcc-mean()-Y",-0.0166103510562857
"292",16,"WALKING","training data","tBodyAcc-mean()-Y",-0.0204286929452941
"293",16,"WALKING_DOWNSTAIRS","training data","tBodyAcc-mean()-Y",-0.0183898583787234
"294",16,"WALKING_UPSTAIRS","training data","tBodyAcc-mean()-Y",-0.0143654945011765
"295",17,"STANDING","training data","tBodyAcc-mean()-Y",-0.0174120064169231
"296",17,"SITTING","training data","tBodyAcc-mean()-Y",-0.014156274084375
"297",17,"LAYING","training data","tBodyAcc-mean()-Y",-0.0168462006729577
"298",17,"WALKING","training data","tBodyAcc-mean()-Y",-0.0184875403339344
"299",17,"WALKING_DOWNSTAIRS","training data","tBodyAcc-mean()-Y",-0.0167359404347826
"300",17,"WALKING_UPSTAIRS","training data","tBodyAcc-mean()-Y",-0.0228645614308333
"301",19,"STANDING","training data","tBodyAcc-mean()-Y",-0.0154244056945205
"302",19,"SITTING","training data","tBodyAcc-mean()-Y",-0.016739260030137
"303",19,"LAYING","training data","tBodyAcc-mean()-Y",-0.0171426864421687
"304",19,"WALKING","training data","tBodyAcc-mean()-Y",-0.0191773587903846
"305",19,"WALKING_DOWNSTAIRS","training data","tBodyAcc-mean()-Y",-0.0145942275069487
"306",19,"WALKING_UPSTAIRS","training data","tBodyAcc-mean()-Y",-0.0303986615775
"307",21,"STANDING","training data","tBodyAcc-mean()-Y",-0.0167084730205618
"308",21,"SITTING","training data","tBodyAcc-mean()-Y",-0.0144009705494118
"309",21,"LAYING","training data","tBodyAcc-mean()-Y",-0.0184233048415556
"310",21,"WALKING","training data","tBodyAcc-mean()-Y",-0.0181610317526923
"311",21,"WALKING_DOWNSTAIRS","training data","tBodyAcc-mean()-Y",-0.0173195390157778
"312",21,"WALKING_UPSTAIRS","training data","tBodyAcc-mean()-Y",-0.0237218695148936
"313",22,"STANDING","training data","tBodyAcc-mean()-Y",-0.0158563207496825
"314",22,"SITTING","training data","tBodyAcc-mean()-Y",-0.0123468446419355
"315",22,"LAYING","training data","tBodyAcc-mean()-Y",-0.0142629864502778
"316",22,"WALKING","training data","tBodyAcc-mean()-Y",-0.0167213607957174
"317",22,"WALKING_DOWNSTAIRS","training data","tBodyAcc-mean()-Y",-0.0197999371686389
"318",22,"WALKING_UPSTAIRS","training data","tBodyAcc-mean()-Y",-0.0268622561133333
"319",23,"STANDING","training data","tBodyAcc-mean()-Y",-0.0177475547867647
"320",23,"SITTING","training data","tBodyAcc-mean()-Y",-0.0133945015676471
"321",23,"LAYING","training data","tBodyAcc-mean()-Y",-0.0216553835833333
"322",23,"WALKING","training data","tBodyAcc-mean()-Y",-0.0183618711932203
"323",23,"WALKING_DOWNSTAIRS","training data","tBodyAcc-mean()-Y",-0.0162111457238889
"324",23,"WALKING_UPSTAIRS","training data","tBodyAcc-mean()-Y",-0.0323844029237255
"325",25,"STANDING","training data","tBodyAcc-mean()-Y",-0.0163569730274324
"326",25,"SITTING","training data","tBodyAcc-mean()-Y",-0.0147696808030769
"327",25,"LAYING","training data","tBodyAcc-mean()-Y",-0.0188943663671233
"328",25,"WALKING","training data","tBodyAcc-mean()-Y",-0.0186477624716216
"329",25,"WALKING_DOWNSTAIRS","training data","tBodyAcc-mean()-Y",-0.0210170522987931
"330",25,"WALKING_UPSTAIRS","training data","tBodyAcc-mean()-Y",-0.0269863524264615
"331",26,"STANDING","training data","tBodyAcc-mean()-Y",-0.0166608306652703
"332",26,"SITTING","training data","tBodyAcc-mean()-Y",-0.00713364541358974
"333",26,"LAYING","training data","tBodyAcc-mean()-Y",-0.0191895728026316
"334",26,"WALKING","training data","tBodyAcc-mean()-Y",-0.0154259586949153
"335",26,"WALKING_DOWNSTAIRS","training data","tBodyAcc-mean()-Y",-0.01262580966778
"336",26,"WALKING_UPSTAIRS","training data","tBodyAcc-mean()-Y",-0.0281633797398182
"337",27,"STANDING","training data","tBodyAcc-mean()-Y",-0.016593236445
"338",27,"SITTING","training data","tBodyAcc-mean()-Y",-0.0155269799285714
"339",27,"LAYING","training data","tBodyAcc-mean()-Y",-0.0179867611216216
"340",27,"WALKING","training data","tBodyAcc-mean()-Y",-0.0166478783221912
"341",27,"WALKING_DOWNSTAIRS","training data","tBodyAcc-mean()-Y",-0.0135564467159091
"342",27,"WALKING_UPSTAIRS","training data","tBodyAcc-mean()-Y",-0.0200953324078431
"343",28,"STANDING","training data","tBodyAcc-mean()-Y",-0.0172635124672152
"344",28,"SITTING","training data","tBodyAcc-mean()-Y",-0.0185404441258333
